HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
61.0,,0.98,1.0,0.8,0.817,78.1,69.3,15.5,15.0,13.2,13.1,,
62.0,,0.981,1.0,0.802,0.818,82.9,77.7,16.4,15.4,8.9,8.6,,
62.0,,0.972,2.0,0.797,0.821,78.3,74.2,14.0,13.3,10.3,10.5,,
64.0,,0.983,1.0,0.793,0.807,76.6,74.8,15.2,13.2,8.0,6.8,,
64.0,,0.977,1.0,0.797,0.815,78.6,73.4,15.3,14.2,10.8,11.6,,
66.0,,0.976,1.0,0.791,0.811,78.5,71.7,15.7,14.4,9.4,9.7,,
67.0,,,,,,77.4,69.9,15.3,13.1,9.9,10.1,,
67.0,,1.003,1.0,0.796,0.793,76.2,70.9,14.0,12.0,11.1,10.9,,
69.0,,0.967,2.0,0.78,0.807,80.2,77.0,15.5,14.0,9.7,10.6,,
70.0,,0.944,3.0,0.754,0.799,80.8,76.8,14.7,13.9,11.2,11.8,,
70.0,,0.866,5.0,0.709,0.819,77.9,75.6,14.6,15.0,10.3,10.4,,
72.0,,0.955,2.0,0.759,0.794,80.3,73.6,14.5,13.8,10.6,10.6,,
73.0,,0.937,3.0,0.753,0.803,79.9,74.9,14.1,13.5,8.9,10.9,,
74.0,,,,,,75.0,70.1,17.0,16.2,,,,
74.0,,0.96,2.0,0.76,0.792,77.9,72.2,15.0,14.6,8.6,8.9,,
74.0,,,,,,,,14.0,13.7,,,,
74.0,,1.0,1.0,0.776,0.776,76.8,67.1,15.3,14.9,11.3,11.3,,
78.0,,,,,,78.1,75.9,13.2,12.1,,,,
79.0,,0.957,2.0,0.759,0.793,79.5,74.1,14.9,15.1,9.1,10.3,,
79.0,,1.008,1.0,0.782,0.776,80.9,73.5,15.8,14.7,7.7,8.2,,
81.0,,0.982,1.0,0.766,0.78,78.5,71.3,13.6,12.6,11.3,11.3,,
82.0,,0.952,2.0,0.753,0.791,77.8,73.8,13.8,13.4,9.4,10.2,,
83.0,,0.989,1.0,0.761,0.77,80.0,74.5,14.7,14.1,8.6,8.3,,
84.0,,0.993,1.0,0.76,0.765,79.6,72.2,15.8,15.1,8.2,7.7,,
85.0,,0.957,2.0,0.744,0.777,79.2,74.8,14.0,14.0,7.7,8.4,,
86.0,,0.967,2.0,0.743,0.768,79.8,74.3,14.9,14.3,8.7,8.9,,
86.0,,0.985,1.0,0.752,0.763,77.6,74.9,14.7,13.3,8.8,8.2,,
88.0,,0.943,3.0,0.73,0.774,75.5,70.5,13.0,12.8,10.2,10.9,,
88.0,,0.999,1.0,0.759,0.76,77.4,71.0,15.0,13.5,8.8,8.3,,
90.0,,1.014,1.0,0.754,0.744,76.2,67.6,11.8,11.3,11.8,11.6,,
91.0,,0.858,5.0,0.671,0.782,78.1,75.7,14.8,14.4,7.7,8.3,,
92.0,,0.892,5.0,0.691,0.774,80.9,77.1,11.1,11.5,8.5,8.9,,
93.0,,,,,,69.3,65.7,,,11.0,10.8,,
94.0,,,,,,,,,,,,,
95.0,,0.923,4.0,0.698,0.756,80.8,77.5,12.3,12.1,7.0,7.0,,
95.0,,0.9,4.0,0.689,0.766,78.7,74.7,15.8,14.3,6.5,8.0,,
97.0,,0.965,2.0,0.724,0.75,75.1,70.3,14.2,14.0,8.9,8.7,,
97.0,,0.985,1.0,0.729,0.74,75.1,68.5,13.8,12.5,9.4,9.1,,
99.0,,1.023,1.0,0.744,0.727,74.1,65.8,14.8,13.7,10.7,9.7,,
100.0,,0.998,1.0,0.734,0.735,72.4,66.5,13.0,12.7,9.5,9.7,,
101.0,,0.994,1.0,0.73,0.735,76.1,72.9,13.9,12.4,10.2,9.3,,
102.0,,0.875,5.0,0.664,0.758,76.3,72.8,11.6,11.1,10.3,10.7,,
103.0,,0.966,2.0,0.714,0.739,76.4,72.3,13.0,12.4,8.5,8.5,,
104.0,,0.95,3.0,0.702,0.739,72.9,69.0,14.6,14.0,11.3,11.2,,
105.0,,0.976,1.0,0.713,0.731,76.0,70.1,13.1,12.6,8.5,7.2,,
106.0,,0.939,3.0,0.695,0.74,73.8,69.6,11.9,12.2,11.6,12.0,,
107.0,,0.945,3.0,0.696,0.737,74.5,68.7,14.2,14.2,8.3,9.8,,
107.0,,0.94,3.0,0.694,0.738,74.0,69.6,13.7,13.5,7.8,8.6,,
107.0,,1.007,1.0,0.72,0.715,75.5,67.3,13.5,12.8,9.6,9.2,,
110.0,,0.976,1.0,0.706,0.723,77.8,71.7,13.4,12.8,9.9,9.9,,
111.0,,,,,,75.5,71.3,13.2,12.3,,,,
111.0,,,,,,71.7,64.7,10.9,11.5,,,,
113.0,,1.009,1.0,0.712,0.706,76.0,68.3,13.8,11.8,10.6,10.0,,
114.0,,0.986,1.0,0.702,0.712,67.7,60.7,14.2,13.4,10.0,10.3,,
115.0,,0.87,5.0,0.638,0.733,75.8,72.4,14.3,12.6,8.9,9.4,,
