HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
64.0,Malaysia,0.983,1.0,0.793,0.807,76.6,74.8,15.2,13.2,8.0,6.8,20.825,33.877
64.0,Kuwait,0.977,1.0,0.797,0.815,78.6,73.4,15.3,14.2,10.8,11.6,31.698,75.84
66.0,Serbia,0.976,1.0,0.791,0.811,78.5,71.7,15.7,14.4,9.4,9.7,13.99,20.525
67.0,Mauritius,,,,,77.4,69.9,15.3,13.1,9.9,10.1,15.87,34.898
67.0,Seychelles,1.003,1.0,0.796,0.793,76.2,70.9,14.0,12.0,11.1,10.9,,
69.0,Trinidad and Tobago,0.967,2.0,0.78,0.807,80.2,77.0,15.5,14.0,9.7,10.6,20.482,32.121
70.0,Albania,0.944,3.0,0.754,0.799,80.8,76.8,14.7,13.9,11.2,11.8,11.004,16.885
70.0,Cuba,0.866,5.0,0.709,0.819,77.9,75.6,14.6,15.0,10.3,10.4,5.714,11.567
72.0,Iran (Islamic Republic of),0.955,2.0,0.759,0.794,80.3,73.6,14.5,13.8,10.6,10.6,4.084,20.637
73.0,Sri Lanka,0.937,3.0,0.753,0.803,79.9,74.9,14.1,13.5,8.9,10.9,7.433,18.423
74.0,Bosnia and Herzegovina,,,,,75.0,70.1,17.0,16.2,,,10.567,19.357
74.0,Grenada,0.96,2.0,0.76,0.792,77.9,72.2,15.0,14.6,8.6,8.9,,
74.0,Mexico,,,,,,,14.0,13.7,,,12.765,25.838
74.0,Saint Kitts and Nevis,1.0,1.0,0.776,0.776,76.8,67.1,15.3,14.9,11.3,11.3,,
78.0,Ukraine,,,,,78.1,75.9,13.2,12.1,,,10.088,16.84
79.0,Antigua and Barbuda,0.957,2.0,0.759,0.793,79.5,74.1,14.9,15.1,9.1,10.3,,
79.0,Peru,1.008,1.0,0.782,0.776,80.9,73.5,15.8,14.7,7.7,8.2,9.889,14.647
81.0,Thailand,0.982,1.0,0.766,0.78,78.5,71.3,13.6,12.6,11.3,11.3,15.924,19.737
82.0,Armenia,0.952,2.0,0.753,0.791,77.8,73.8,13.8,13.4,9.4,10.2,9.737,18.574
83.0,North Macedonia,0.989,1.0,0.761,0.77,80.0,74.5,14.7,14.1,8.6,8.3,11.698,20.027
84.0,Colombia,0.993,1.0,0.76,0.765,79.6,72.2,15.8,15.1,8.2,7.7,11.594,17.018
85.0,Brazil,0.957,2.0,0.744,0.777,79.2,74.8,14.0,14.0,7.7,8.4,10.535,18.12
86.0,China,0.967,2.0,0.743,0.768,79.8,74.3,14.9,14.3,8.7,8.9,12.633,19.308
86.0,Ecuador,0.985,1.0,0.752,0.763,77.6,74.9,14.7,13.3,8.8,8.2,7.874,14.211
88.0,Saint Lucia,0.943,3.0,0.73,0.774,75.5,70.5,13.0,12.8,10.2,10.9,11.476,17.851
88.0,Azerbaijan,0.999,1.0,0.759,0.76,77.4,71.0,15.0,13.5,8.8,8.3,8.919,18.664
90.0,Dominican Republic,1.014,1.0,0.754,0.744,76.2,67.6,11.8,11.3,11.8,11.6,12.449,22.74
